genre,avg_duration
Telugu,180.66666666666666
Western Epic,175.33333333333334
Kannada,165.0
Classic Musical,156.0
Hard-Boiled Detective,155.0
Desert Adventure,147.33333333333334
Historical Epic,147.3
Hindi,144.61111111111111
Epic,142.83582089552237
Motorsport,142.75
Classical Western,139.0
Portuguese,137.0
Western,136.8181818181818
Costume Drama,136.77777777777777
Sci-Fi Epic,136.02631578947367
Stoner Comedy,136.0
Globetrotting Adventure,133.4
Action Epic,132.67532467532467
Car Action,132.63636363636363
Adventure Epic,132.46296296296296
Kung Fu,132.0
Tragedy,131.57142857142858
Showbiz Drama,131.25
Italian,130.0
Legal Thriller,129.75
Sword & Sandal,129.0
Fantasy Epic,128.45454545454547
History,128.0566037735849
War Epic,128.0
Water Sport,127.5
Period Drama,127.37179487179488
Gangster,126.75
Docudrama,126.29411764705883
Spy,126.25925925925925
Arabic,126.0
Superhero,125.8970588235294
Korean,125.83333333333333
Cop Drama,125.58333333333333
Space Sci-Fi,125.37037037037037
Biography,124.91666666666667
Tragic Romance,124.83333333333333
True Crime,124.76923076923077
German,124.66666666666667
Legal Drama,124.18181818181819
Isekai,124.0
Romantic Epic,124.0
Sport,123.6842105263158
Police Procedural,123.5
Dinosaur Adventure,123.125
Boxing,123.0
Cyberpunk,122.77777777777777
Gun Fu,122.0
Political Drama,122.0
Sea Adventure,121.66666666666667
Dystopian Sci-Fi,121.61538461538461
Witch Horror,121.6
Heist,121.5
War,121.38461538461539
Rock Musical,121.0
Steampunk,121.0
Teen Adventure,120.15384615384616
Action,119.98181818181818
Pop Musical,119.66666666666667
Sword & Sorcery,119.66666666666667
Musical,119.40625
Music,118.96666666666667
Time Travel,118.94444444444444
Spanish,118.9
Drama,118.73277661795407
Jungle Adventure,118.55555555555556
Supernatural Fantasy,118.55172413793103
Jukebox Musical,118.5
Martial Arts,118.46153846153847
Political Thriller,118.33333333333333
Psychological Drama,118.11363636363636
Screwball Comedy,118.0
Adventure,117.82661290322581
Crime,117.73743016759776
Steamy Romance,117.44444444444444
Dark Fantasy,117.34210526315789
Feel-Good Romance,117.0
Shōjo,117.0
Sci-Fi,116.30188679245283
Dark Romance,116.16666666666667
Giallo,116.0
Teen Romance,115.83333333333333
Kaiju,115.16666666666667
Prison Drama,115.0
Fantasy,114.88372093023256
Satire,114.84848484848484
Contemporary Western,114.83333333333333
Mountain Adventure,114.66666666666667
Norwegian,114.5
Quest,114.29729729729729
Disaster,114.25
One-Person Army Action,114.18181818181819
Dark Comedy,114.16037735849056
Thriller,114.14893617021276
Teen Drama,114.11111111111111
Romance,113.94782608695652
Serial Killer,113.8
Teen Fantasy,113.57142857142857
Holiday,113.5625
Conspiracy Thriller,113.30434782608695
Whodunnit,113.08888888888889
Urban Adventure,113.04347826086956
Cozy Mystery,112.83333333333333
Basketball,112.75
Fairy Tale,112.6470588235294
Buddy Cop,112.625
Mandarin,112.5
Body Swap Comedy,112.5
Splatter Horror,112.46153846153847
Romantic Comedy,111.60416666666667
Vampire Horror,111.375
Danish,111.25
Supernatural Horror,110.94827586206897
Artificial Intelligence,110.94736842105263
Psychological Thriller,110.89655172413794
Mystery,110.49740932642487
Coming-Of-Age,110.32142857142857
Financial Drama,110.25
Comedy,110.11379310344827
Alien Invasion,109.84210526315789
Holiday Romance,109.6
Road Trip,109.54545454545455
Workplace Drama,109.3
Survival,108.76190476190476
Suspense Mystery,108.62790697674419
Holiday Comedy,108.45454545454545
French,108.375
High-Concept Comedy,108.3157894736842
Swashbuckler,108.0
Drug Crime,107.8
Psychological Horror,107.64516129032258
Caper,107.5
Raunchy Comedy,107.47368421052632
Teen Comedy,106.95
Zombie Horror,106.71428571428571
Erotic Thriller,106.66666666666667
Horror,106.14606741573034
Teen Horror,105.34615384615384
Family,104.96
Slasher Horror,104.21212121212122
Quirky Comedy,103.71428571428571
Japanese,103.35714285714286
Werewolf Horror,103.0
Cyber Thriller,102.84615384615384
Buddy Comedy,102.76666666666667
B-Horror,102.75
Holiday Family,102.2
Body Horror,101.63888888888889
Computer Animation,101.55555555555556
Animal Adventure,101.25
Farce,101.25
Folk Horror,101.25
Animation,100.69354838709677
Sports Documentary,100.0
Extreme Sport,100.0
Stop Motion Animation,100.0
B-Action,98.0
Monster Horror,97.5
Slapstick,97.04761904761905
Crime Documentary,97.0
Documentary,94.8
Wuxia,94.0
Bumbling Detective,93.75
Hand-Drawn Animation,92.52941176470588
Parody,92.0
Holiday Animation,90.5
Anime,89.27272727272727
Adult Animation,86.83333333333333
Nature Documentary,85.0
Mockumentary,82.5
Found Footage Horror,80.66666666666667
Shōnen,77.28571428571429
Short,40.0